id,name,math,science,english,average_score,status
1,Student_1,2,27,91,40.0,Pass
2,Student_2,55,29,39,41.0,Pass
3,Student_3,48,42,19,36.333333333333336,Fail
4,Student_4,46,0,69,38.333333333333336,Fail
5,Student_5,95,94,89,92.66666666666667,Pass
6,Student_6,76,38,7,40.333333333333336,Pass
7,Student_7,52,63,24,46.333333333333336,Pass
8,Student_8,14,17,78,36.333333333333336,Fail
9,Student_9,10,73,60,47.666666666666664,Pass
10,Student_10,61,19,86,55.333333333333336,Pass
11,Student_11,91,44,21,52.0,Pass
12,Student_12,43,32,78,51.0,Pass
13,Student_13,93,66,60,73.0,Pass
14,Student_14,5,65,99,56.333333333333336,Pass
15,Student_15,21,38,7,22.0,Fail
16,Student_16,67,46,99,70.66666666666667,Pass
17,Student_17,99,5,55,53.0,Pass
18,Student_18,91,9,80,60.0,Pass
19,Student_19,0,45,47,30.666666666666668,Fail
20,Student_20,2,4,85,30.333333333333332,Fail
21,Student_21,83,26,36,48.333333333333336,Pass
22,Student_22,37,78,66,60.333333333333336,Pass
23,Student_23,2,84,44,43.333333333333336,Pass
24,Student_24,16,33,9,19.333333333333332,Fail
25,Student_25,25,77,97,66.33333333333333,Pass
26,Student_26,35,53,79,55.666666666666664,Pass
27,Student_27,70,51,35,52.0,Pass
28,Student_28,100,91,42,77.66666666666667,Pass
29,Student_29,69,16,77,54.0,Pass
30,Student_30,59,3,67,43.0,Pass
31,Student_31,63,51,16,43.333333333333336,Pass
32,Student_32,77,4,67,49.333333333333336,Pass
33,Student_33,39,24,59,40.666666666666664,Pass
34,Student_34,54,3,73,43.333333333333336,Pass
35,Student_35,75,93,75,81.0,Pass
36,Student_36,99,83,5,62.333333333333336,Pass
37,Student_37,78,1,13,30.666666666666668,Fail
38,Student_38,58,80,64,67.33333333333333,Pass
39,Student_39,2,47,47,32.0,Fail
40,Student_40,21,4,19,14.666666666666666,Fail
41,Student_41,24,6,1,10.333333333333334,Fail
42,Student_42,7,16,21,14.666666666666666,Fail
43,Student_43,91,12,18,40.333333333333336,Pass
44,Student_44,64,20,39,41.0,Pass
45,Student_45,11,86,81,59.333333333333336,Pass
46,Student_46,3,96,100,66.33333333333333,Pass
47,Student_47,3,51,76,43.333333333333336,Pass
48,Student_48,56,84,69,69.66666666666667,Pass
49,Student_49,7,43,53,34.333333333333336,Fail
50,Student_50,41,1,37,26.333333333333332,Fail
51,Student_51,31,12,79,40.666666666666664,Pass
52,Student_52,41,72,83,65.33333333333333,Pass
53,Student_53,17,28,58,34.333333333333336,Fail
54,Student_54,62,100,46,69.33333333333333,Pass
55,Student_55,88,53,81,74.0,Pass
56,Student_56,48,35,86,56.333333333333336,Pass
57,Student_57,43,0,49,30.666666666666668,Fail
58,Student_58,73,64,45,60.666666666666664,Pass
59,Student_59,27,31,3,20.333333333333332,Fail
60,Student_60,81,66,28,58.333333333333336,Pass
61,Student_61,9,58,93,53.333333333333336,Pass
62,Student_62,1,24,37,20.666666666666668,Fail
63,Student_63,13,71,87,57.0,Pass
64,Student_64,75,40,24,46.333333333333336,Pass
65,Student_65,85,11,6,34.0,Fail
66,Student_66,97,80,80,85.66666666666667,Pass
67,Student_67,90,94,7,63.666666666666664,Pass
68,Student_68,62,91,98,83.66666666666667,Pass
69,Student_69,17,47,81,48.333333333333336,Pass
70,Student_70,99,15,2,38.666666666666664,Fail
71,Student_71,99,14,100,71.0,Pass
72,Student_72,35,42,62,46.333333333333336,Pass
73,Student_73,72,24,69,55.0,Pass
74,Student_74,95,60,11,55.333333333333336,Pass
75,Student_75,57,34,41,44.0,Pass
76,Student_76,89,70,92,83.66666666666667,Pass
77,Student_77,60,5,39,34.666666666666664,Fail
78,Student_78,31,17,54,34.0,Fail
79,Student_79,9,67,39,38.333333333333336,Fail
80,Student_80,46,36,85,55.666666666666664,Pass
81,Student_81,40,37,82,53.0,Pass
82,Student_82,1,98,4,34.333333333333336,Fail
83,Student_83,18,80,17,38.333333333333336,Fail
84,Student_84,91,16,92,66.33333333333333,Pass
85,Student_85,15,20,37,24.0,Fail
86,Student_86,77,42,68,62.333333333333336,Pass
87,Student_87,21,35,94,50.0,Pass
88,Student_88,33,42,51,42.0,Pass
89,Student_89,40,77,90,69.0,Pass
90,Student_90,97,100,39,78.66666666666667,Pass
91,Student_91,80,30,17,42.333333333333336,Pass
92,Student_92,30,24,8,20.666666666666668,Fail
93,Student_93,91,42,9,47.333333333333336,Pass
94,Student_94,81,63,47,63.666666666666664,Pass
95,Student_95,34,73,13,40.0,Pass
96,Student_96,35,4,18,19.0,Fail
97,Student_97,88,51,97,78.66666666666667,Pass
98,Student_98,91,88,4,61.0,Pass
99,Student_99,8,54,69,43.666666666666664,Pass
100,Student_100,18,70,5,31.0,Fail
