id,name,math,science,english
1,Student_1,2,27,91
2,Student_2,55,29,39
3,Student_3,48,42,19
4,Student_4,46,0,69
5,Student_5,95,94,89
6,Student_6,76,38,7
7,Student_7,52,63,24
8,Student_8,14,17,78
9,Student_9,10,73,60
10,Student_10,61,19,86
11,Student_11,91,44,21
12,Student_12,43,32,78
13,Student_13,93,66,60
14,Student_14,5,65,99
15,Student_15,21,38,7
16,Student_16,67,46,99
17,Student_17,99,5,55
18,Student_18,91,9,80
19,Student_19,0,45,47
20,Student_20,2,4,85
21,Student_21,83,26,36
22,Student_22,37,78,66
23,Student_23,2,84,44
24,Student_24,16,33,9
25,Student_25,25,77,97
26,Student_26,35,53,79
27,Student_27,70,51,35
28,Student_28,100,91,42
29,Student_29,69,16,77
30,Student_30,59,3,67
31,Student_31,63,51,16
32,Student_32,77,4,67
33,Student_33,39,24,59
34,Student_34,54,3,73
35,Student_35,75,93,75
36,Student_36,99,83,5
37,Student_37,78,1,13
38,Student_38,58,80,64
39,Student_39,2,47,47
40,Student_40,21,4,19
41,Student_41,24,6,1
42,Student_42,7,16,21
43,Student_43,91,12,18
44,Student_44,64,20,39
45,Student_45,11,86,81
46,Student_46,3,96,100
47,Student_47,3,51,76
48,Student_48,56,84,69
49,Student_49,7,43,53
50,Student_50,41,1,37
51,Student_51,31,12,79
52,Student_52,41,72,83
53,Student_53,17,28,58
54,Student_54,62,100,46
55,Student_55,88,53,81
56,Student_56,48,35,86
57,Student_57,43,0,49
58,Student_58,73,64,45
59,Student_59,27,31,3
60,Student_60,81,66,28
61,Student_61,9,58,93
62,Student_62,1,24,37
63,Student_63,13,71,87
64,Student_64,75,40,24
65,Student_65,85,11,6
66,Student_66,97,80,80
67,Student_67,90,94,7
68,Student_68,62,91,98
69,Student_69,17,47,81
70,Student_70,99,15,2
71,Student_71,99,14,100
72,Student_72,35,42,62
73,Student_73,72,24,69
74,Student_74,95,60,11
75,Student_75,57,34,41
76,Student_76,89,70,92
77,Student_77,60,5,39
78,Student_78,31,17,54
79,Student_79,9,67,39
80,Student_80,46,36,85
81,Student_81,40,37,82
82,Student_82,1,98,4
83,Student_83,18,80,17
84,Student_84,91,16,92
85,Student_85,15,20,37
86,Student_86,77,42,68
87,Student_87,21,35,94
88,Student_88,33,42,51
89,Student_89,40,77,90
90,Student_90,97,100,39
91,Student_91,80,30,17
92,Student_92,30,24,8
93,Student_93,91,42,9
94,Student_94,81,63,47
95,Student_95,34,73,13
96,Student_96,35,4,18
97,Student_97,88,51,97
98,Student_98,91,88,4
99,Student_99,8,54,69
100,Student_100,18,70,5
